Customer ID,recency,frequency,monetary,segment
12547,136,1,175.77999999999997,hibernating
12549,211,6,1575.6799999999998,at_Risk
12553,21,2,916.47,potential_loyalists
12554,84,1,468.5,hibernating
12555,318,1,129.23,hibernating
12557,7,4,6725.18,champions
12562,21,2,1185.18,potential_loyalists
12563,44,1,249.24,need_attention
12567,3,7,4308.58,champions
12568,280,1,70.0,hibernating
12570,318,1,77.52,hibernating
12573,17,4,556.8700000000001,loyal_customers
12575,93,2,622.8199999999999,hibernating
12576,28,3,826.8900000000001,potential_loyalists
12577,17,5,995.95,loyal_customers
12578,21,2,1847.9400000000003,potential_loyalists
12580,212,1,637.2,hibernating
12582,58,2,1469.04,need_attention
12583,9,13,7166.0599999999995,champions
12586,10,3,1865.73,potential_loyalists
12588,35,3,743.8800000000001,potential_loyalists
12589,57,6,4048.9799999999996,loyal_customers
12591,26,2,899.3,potential_loyalists
12592,155,3,2145.0599999999995,at_Risk
12594,14,5,1751.8899999999999,champions
12595,140,1,299.02000000000004,hibernating
12598,99,3,1511.0100000000002,at_Risk
12599,17,6,1264.1399999999999,loyal_customers
12600,7,12,2444.88,champions
12601,40,1,104.2,need_attention
12605,12,4,1232.95,champions
12606,318,1,21.0,hibernating
12608,40,1,415.78999999999996,need_attention
12609,10,6,2309.0099999999998,champions
12613,24,5,3490.69,loyal_customers
12615,49,4,3449.79,loyal_customers
12616,24,1,417.79999999999995,promising
12619,196,1,140.14,hibernating
12621,1,16,11086.14,champions
12623,52,6,3442.74,loyal_customers
12625,145,2,2481.06,hibernating
12629,21,2,1558.2199999999998,potential_loyalists
12631,92,5,2841.07,at_Risk
12632,156,2,804.88,hibernating
12633,18,3,3514.18,potential_loyalists
12634,171,2,490.0,hibernating
12635,28,2,1241.23,potential_loyalists
12636,374,1,141.0,hibernating
12637,14,4,2318.41,champions
12638,275,1,249.8,hibernating
12639,70,2,826.2700000000001,need_attention
12643,21,6,5005.78,loyal_customers
12644,66,3,1440.5800000000002,about_to_sleep
12645,45,4,1764.1200000000001,loyal_customers
12647,3,27,14201.529999999999,champions
12648,73,3,793.95,at_Risk
12649,18,5,1671.1400000000003,loyal_customers
12651,14,3,263.75,potential_loyalists
12652,70,1,97.05000000000001,need_attention
12653,162,1,1950.98,hibernating
12655,59,1,261.35,need_attention
12656,61,3,2356.66,about_to_sleep
12661,72,1,162.00000000000003,hibernating
12662,9,10,3138.2400000000002,champions
12663,260,2,239.4,hibernating
12664,150,2,1188.16,hibernating
12665,53,2,250.6,need_attention
12666,30,1,1248.42,promising
12668,14,6,7637.530000000001,champions
12670,21,2,764.24,potential_loyalists
12671,242,1,2622.481,hibernating
12672,231,1,211.15000000000003,hibernating
12673,37,1,619.5,need_attention
12675,189,2,958.5000000000001,hibernating
12676,44,5,1511.7,loyal_customers
12677,191,2,395.1,hibernating
12678,11,9,16652.72,champions
12681,3,24,17080.739999999998,champions
12682,1,23,11745.69,champions
12683,1,8,4220.21,champions
12686,7,1,89.14,new_customers
12687,116,2,2138.9099999999994,hibernating
12691,56,1,134.6,need_attention
12692,273,1,110.95,hibernating
12693,32,3,847.1099999999999,potential_loyalists
12694,57,1,973.68,need_attention
12695,164,3,825.02,at_Risk
12696,70,2,851.91,need_attention
12698,226,1,339.75,hibernating
12699,53,1,638.11,need_attention
12701,165,4,1648.7,at_Risk
12703,269,3,722.9799999999999,at_Risk
12705,19,5,4893.81,loyal_customers
12708,4,9,2601.19,champions
12709,2,20,21356.82,champions
12711,247,2,1339.0499999999997,hibernating
12712,1,10,2797.53,champions
12714,24,7,9384.85,loyal_customers
12717,226,1,277.93,hibernating
12720,5,6,2478.9399999999996,champions
12721,21,2,1356.95,potential_loyalists
12724,19,3,1286.1100000000001,potential_loyalists
12725,7,4,2266.7599999999998,champions
12726,23,4,1405.5000000000002,loyal_customers
12727,78,3,1698.8300000000002,at_Risk
12728,19,1,233.84,promising
12730,157,1,829.2500000000001,hibernating
12731,78,5,6879.800000000001,at_Risk
12733,25,3,2040.92,potential_loyalists
12734,10,2,529.25,potential_loyalists
12737,134,2,3710.5,hibernating
12738,8,1,155.35,new_customers
12739,21,2,1713.69,potential_loyalists
12741,165,2,406.07,hibernating
12742,261,1,1201.5200000000002,hibernating
12744,95,4,4037.769999999999,at_Risk
12745,122,3,925.4100000000001,at_Risk
12746,176,1,254.55,hibernating
12747,5,16,5080.530000000001,champions
12748,1,144,22879.659999999996,champions
12749,35,4,2806.4800000000005,loyal_customers
12751,80,1,268.27,hibernating
12755,1,10,5218.71,champions
12758,95,5,7111.65,at_Risk
12759,22,5,3489.3,loyal_customers
12760,91,1,347.8,hibernating
12761,93,2,782.9499999999999,hibernating
12763,5,1,320.08000000000004,new_customers
12765,108,6,1404.58,at_Risk
12766,2,3,3078.6499999999996,potential_loyalists
12767,11,1,949.82,new_customers
12768,86,1,168.69000000000003,hibernating
12770,92,1,1895.0,hibernating
12771,121,1,282.3,hibernating
12773,200,1,124.25,hibernating
12774,171,1,98.7,hibernating
12775,24,2,300.08,potential_loyalists
12776,303,1,55.5,hibernating
12777,93,1,519.45,hibernating
12778,32,3,953.45,potential_loyalists
12779,7,7,2740.91,champions
12780,234,1,337.3999999999999,hibernating
12782,10,6,2287.32,champions
12784,165,1,1230.3300000000002,hibernating
12785,171,2,788.45,hibernating
12786,245,1,728.5000000000001,hibernating
12787,49,1,398.52,need_attention
12788,99,4,444.9,at_Risk
12789,148,2,181.5,hibernating
12790,46,1,266.92999999999995,need_attention
12791,9,6,863.5100000000001,champions
12792,170,1,426.46999999999997,hibernating
12793,7,2,471.85,potential_loyalists
12796,264,1,381.0,hibernating
12797,1,2,552.08,potential_loyalists
12798,57,1,1533.8899999999999,need_attention
12799,165,1,219.35000000000002,hibernating
12800,106,3,584.25,at_Risk
12801,136,1,1071.8200000000002,hibernating
12802,78,6,1988.84,at_Risk
12803,29,1,1092.8100000000002,promising
12804,101,2,327.02,hibernating
12805,17,4,1434.9499999999998,loyal_customers
12806,71,4,2878.96,loyal_customers
12807,19,1,330.35,promising
12808,4,3,422.45000000000005,potential_loyalists
12809,201,2,1266.63,hibernating
12810,170,2,534.99,hibernating
12811,14,2,519.05,potential_loyalists
12813,137,3,1687.8,at_Risk
12817,35,2,524.94,potential_loyalists
12819,94,1,540.52,hibernating
12820,33,7,1747.18,loyal_customers
12821,247,1,128.08,hibernating
12823,30,13,4742.0,loyal_customers
12825,157,2,518.63,hibernating
12826,1,6,1481.0300000000002,champions
12829,186,1,92.30000000000001,hibernating
12831,99,2,236.06,hibernating
12835,63,41,6043.31,loyal_customers
12836,25,11,3972.76,loyal_customers
12837,205,1,554.3100000000001,hibernating
12838,9,9,2715.35,champions
12839,3,13,4480.3099999999995,champions
12840,73,3,1315.1999999999998,at_Risk
12841,5,17,3518.33,champions
12842,40,2,799.0000000000002,need_attention
12843,18,22,4886.15,loyal_customers
12844,78,2,322.64,hibernating
12846,318,1,15.58,hibernating
12847,23,1,765.36,promising
12848,311,1,208.0,hibernating
12849,17,4,2039.67,loyal_customers
12850,81,1,330.0,hibernating
12851,113,1,148.95,hibernating
12853,63,5,1950.4,loyal_customers
12854,197,4,1669.52,at_Risk
12855,8,4,612.8400000000001,champions
12857,72,4,2581.6,at_Risk
12858,19,1,177.92,promising
12859,94,1,575.0999999999999,hibernating
12860,329,1,55.47,hibernating
12861,255,1,68.25,hibernating
12862,61,2,1008.32,need_attention
12863,15,5,2271.35,champions
12864,144,1,152.45,hibernating
12865,14,2,1755.24,potential_loyalists
12866,110,2,668.2299999999999,hibernating
12867,33,6,3876.4700000000003,loyal_customers
12868,9,3,640.0000000000001,potential_loyalists
12869,317,1,337.6700000000001,hibernating
12870,11,3,1676.9500000000003,potential_loyalists
12871,75,1,363.38,hibernating
12872,1,11,3085.52,champions
12873,33,2,1653.3000000000004,potential_loyalists
12874,21,2,948.42,potential_loyalists
12875,107,3,1013.76,at_Risk
12876,30,2,1863.77,potential_loyalists
12877,37,8,1419.4,loyal_customers
12880,17,2,640.13,potential_loyalists
12887,19,1,222.4,promising
12889,17,4,385.46000000000004,loyal_customers
12890,23,1,336.79999999999995,promising
12891,94,8,509.5,cant_loose
12892,32,1,263.38,promising
12894,211,1,157.35,hibernating
12897,17,2,297.75,potential_loyalists
12898,99,2,310.96,hibernating
12899,49,1,366.4,need_attention
12900,58,1,340.33000000000004,need_attention
12903,64,1,833.5300000000001,need_attention
12905,212,2,1018.42,hibernating
12907,31,2,508.90999999999997,potential_loyalists
12908,16,3,1026.0,potential_loyalists
12909,60,3,924.52,about_to_sleep
12910,15,5,2721.48,champions
12911,187,1,1680.4699999999998,hibernating
12913,4,9,4217.230000000001,champions
12914,36,1,223.98,promising
12915,8,3,811.1000000000001,potential_loyalists
12916,78,3,1647.8699999999997,at_Risk
12917,36,5,3765.2,loyal_customers
12918,262,1,10953.5,hibernating
12920,207,3,323.86,at_Risk
12921,2,39,19333.949999999997,champions
12923,26,2,612.9,potential_loyalists
12924,29,8,1535.7,loyal_customers
12925,228,1,35.28,hibernating
12926,47,4,1548.46,loyal_customers
12927,30,1,197.31,promising
12928,14,7,2242.19,champions
12931,16,42,50291.38,loyal_customers
12932,175,8,1698.56,cant_loose
12933,16,5,1079.5000000000002,loyal_customers
12934,372,1,181.65,hibernating
12935,11,8,2083.16,champions
12937,99,5,1593.34,at_Risk
12939,15,12,13683.0,champions
12941,360,1,377.49000000000007,hibernating
12942,1,1,258.75,new_customers
12943,194,2,496.5,hibernating
12945,292,1,437.16,hibernating
12946,72,1,324.45,hibernating
12947,9,1,304.03999999999996,new_customers
12948,366,2,252.48000000000002,hibernating
12949,18,14,11359.48,loyal_customers
12951,22,9,2149.65,loyal_customers
12953,158,1,498.96,hibernating
12954,274,1,162.45,hibernating
12956,320,3,413.82,at_Risk
12957,177,5,4689.43,at_Risk
12958,36,2,539.49,potential_loyalists
12959,120,1,150.95,hibernating
12960,49,4,1322.0700000000004,loyal_customers
12961,15,1,211.99,new_customers
12963,1,5,1744.96,champions
12964,73,1,132.23999999999998,hibernating
12967,7,2,2646.0199999999995,potential_loyalists
12969,238,1,122.45,hibernating
12970,16,6,1072.73,loyal_customers
12971,2,33,4782.880000000001,champions
12972,49,4,1161.2,loyal_customers
12973,49,1,385.55,need_attention
12974,201,1,264.15,hibernating
12975,72,6,2100.09,at_Risk
12976,14,7,2417.7800000000007,champions
12977,137,3,478.39,at_Risk
12978,21,5,2502.8199999999997,loyal_customers
12979,365,1,517.7,hibernating
12980,22,12,8870.880000000001,loyal_customers
12982,30,7,2354.2700000000004,loyal_customers
12983,234,1,490.08000000000004,hibernating
12986,64,10,2729.84,loyal_customers
12987,56,3,753.51,about_to_sleep
12989,60,18,6627.64,loyal_customers
12990,53,4,546.0,loyal_customers
12991,25,1,261.05999999999995,promising
12992,361,1,93.35000000000001,hibernating
12993,81,4,844.87,at_Risk
12996,11,1,355.5,new_customers
12997,30,4,884.02,loyal_customers
12998,128,3,920.0799999999999,at_Risk
13000,361,1,497.6500000000001,hibernating
13001,40,20,14353.279999999999,loyal_customers
13002,52,2,293.18,need_attention
13004,22,18,5994.9400000000005,loyal_customers
13005,67,2,485.98,need_attention
13007,215,1,175.25,hibernating
13008,33,2,382.66,potential_loyalists
13009,308,1,234.0,hibernating
13010,10,2,330.12,potential_loyalists
13011,8,1,50.550000000000004,new_customers
13012,65,3,1310.99,about_to_sleep
13013,7,18,7814.83,champions
13014,68,1,1914.8,need_attention
13015,74,6,3240.14,at_Risk
13018,49,7,2485.46,loyal_customers
13019,15,6,1229.95,champions
13020,198,2,618.96,hibernating
13021,10,8,2270.8599999999997,champions
13022,65,1,65.3,need_attention
13023,164,1,759.1300000000001,hibernating
13024,106,2,555.8699999999999,hibernating
13025,367,1,323.39,hibernating
13026,124,4,757.7200000000001,at_Risk
13027,21,13,10423.199999999999,loyal_customers
13029,10,2,679.8,potential_loyalists
13030,4,1,427.7399999999999,new_customers
13031,43,5,3419.27,loyal_customers
13032,28,7,1833.37,loyal_customers
13033,65,1,30.0,need_attention
13034,5,2,279.90999999999997,potential_loyalists
13035,67,1,442.32,need_attention
13036,320,1,307.1,hibernating
13037,35,9,3033.88,loyal_customers
13039,220,4,1010.7300000000001,at_Risk
13041,86,4,799.1300000000001,at_Risk
13042,234,3,1556.54,at_Risk
13044,128,10,4293.43,cant_loose
13045,37,2,503.64,need_attention
13046,92,1,319.94000000000005,hibernating
13047,9,17,5557.620000000001,champions
13048,72,5,2248.3,at_Risk
13049,25,2,751.5600000000001,potential_loyalists
13050,2,19,6507.67,champions
13051,214,2,155.8,hibernating
13052,56,6,2820.38,loyal_customers
13053,257,1,127.65,hibernating
13055,65,1,1106.7,need_attention
13056,187,1,209.47999999999996,hibernating
13057,166,3,722.0899999999999,at_Risk
13059,49,9,2119.7700000000004,loyal_customers
13063,116,1,188.39999999999998,hibernating
13064,186,2,561.25,hibernating
13065,9,5,1055.0500000000002,champions
13067,45,2,393.05,need_attention
13069,5,16,5247.01,champions
13070,95,3,522.9,at_Risk
13071,248,1,129.22,hibernating
13073,47,2,418.08000000000004,need_attention
13074,147,4,1378.74,at_Risk
13076,93,1,135.4,hibernating
13077,2,8,2335.3999999999996,champions
13078,2,32,16904.51,champions
13079,53,1,199.07999999999998,need_attention
13080,37,3,222.65,about_to_sleep
13081,7,19,30867.77,champions
13082,60,12,3722.12,loyal_customers
13083,61,1,91.67999999999999,need_attention
13084,127,1,122.39999999999999,hibernating
13085,315,6,2017.2,at_Risk
13086,18,1,439.33,promising
13087,362,1,313.64,hibernating
13088,53,1,236.10999999999999,need_attention
13089,4,109,57912.03,champions
13090,1,13,5192.27,champions
13091,365,2,1976.0000000000002,hibernating
13092,50,7,1662.45,loyal_customers
13093,9,48,47111.18,champions
13094,4,2,505.80000000000007,potential_loyalists
13096,30,1,419.70000000000005,promising
13097,24,18,7378.8,loyal_customers
13101,134,3,594.21,at_Risk
13102,1,14,5272.83,champions
13103,73,2,465.7,hibernating
13104,51,3,610.6199999999999,about_to_sleep
13105,72,1,72.0,hibernating
13106,49,1,526.96,need_attention
13107,49,5,3721.45,loyal_customers
13108,8,2,748.4599999999999,potential_loyalists
13109,187,1,347.49000000000007,hibernating
13110,73,5,1468.8,at_Risk
13111,354,1,321.88000000000005,hibernating
13112,177,1,20.6,hibernating
13113,2,14,6379.7699999999995,champions
13114,366,1,234.38,hibernating
13115,15,6,3199.92,champions
13117,1,12,1658.9,champions
13118,12,4,1217.6,champions
13119,304,1,134.9,hibernating
13123,108,2,506.74999999999994,hibernating
13124,21,1,916.1199999999999,promising
13125,159,1,158.57,hibernating
13126,2,7,1898.6099999999997,champions
13128,267,1,263.5,hibernating
13129,88,2,233.25,hibernating
13131,54,4,2240.47,loyal_customers
13133,95,1,90.65,hibernating
13134,38,2,681.65,need_attention
13135,127,1,275.45,hibernating
13136,11,8,3666.95,champions
13137,22,8,4062.29,loyal_customers
13138,8,2,504.85,potential_loyalists
13139,73,1,3138.04,hibernating
13140,2,3,791.9599999999999,potential_loyalists
13141,21,12,5279.83,loyal_customers
13143,220,1,405.1,hibernating
13144,67,1,24.4,need_attention
13145,8,4,805.0,champions
13148,25,14,4914.6900000000005,loyal_customers
13150,120,3,449.96999999999997,at_Risk
13151,261,2,1322.8700000000001,hibernating
13152,53,7,2146.38,loyal_customers
13154,35,3,1624.8400000000001,potential_loyalists
13155,4,3,778.4200000000002,potential_loyalists
13156,21,3,1586.54,potential_loyalists
13157,45,5,3946.1399999999994,loyal_customers
13158,24,1,307.12,promising
13161,136,1,366.13,hibernating
13162,16,12,7587.200000000001,loyal_customers
13163,246,1,17.65,hibernating
13164,205,2,372.2,hibernating
13165,49,1,429.68,need_attention
13166,50,1,466.98,need_attention
13167,26,1,333.82,promising
13168,178,1,556.1200000000001,hibernating
13169,198,1,127.20000000000002,hibernating
13172,36,1,69.6,promising
13173,3,10,2285.7,champions
13174,5,10,6677.81,champions
13175,218,2,831.45,hibernating
13177,66,1,229.75,need_attention
13178,33,10,8333.720000000001,loyal_customers
13179,254,1,572.31,hibernating
13180,243,1,86.10000000000001,hibernating
13181,17,1,359.69,promising
13183,30,6,3078.3999999999996,loyal_customers
13187,260,3,130.98999999999998,at_Risk
13190,180,3,570.66,at_Risk
13191,294,1,164.69000000000003,hibernating
13192,171,4,1646.64,at_Risk
13194,57,1,412.08,need_attention
13195,50,1,172.38,need_attention
13196,79,3,1271.06,at_Risk
13197,245,1,373.01000000000005,hibernating
13198,23,2,1572.99,potential_loyalists
13199,2,30,6615.77,champions
13201,138,4,1240.6100000000001,at_Risk
13202,30,7,1580.3000000000002,loyal_customers
13203,22,6,1778.79,loyal_customers
13204,367,1,966.6599999999999,hibernating
13205,79,1,2803.2,hibernating
13206,36,13,8377.32,loyal_customers
13207,87,2,285.6,hibernating
13208,85,3,764.5999999999999,at_Risk
13209,150,5,2617.9,at_Risk
13211,17,7,1531.9,loyal_customers
13213,19,6,2330.94,loyal_customers
13214,53,7,3264.23,loyal_customers
13215,38,1,81.6,need_attention
13217,291,1,132.5,hibernating
13219,254,1,76.23,hibernating
13220,211,1,516.8000000000001,hibernating
13222,213,1,88.5,hibernating
13223,59,4,805.9200000000001,loyal_customers
13225,57,9,9796.230000000001,loyal_customers
13226,29,1,204.25,promising
13230,1,17,3553.8100000000004,champions
13233,56,2,571.34,need_attention
13234,308,2,356.94999999999993,hibernating
13237,23,1,643.0,promising
13238,66,2,305.9,need_attention
13239,73,4,1265.13,at_Risk
13240,1,5,1074.87,champions
13241,47,1,115.58,need_attention
13242,87,4,429.0,at_Risk
13243,85,4,677.97,at_Risk
13245,68,1,558.7199999999999,need_attention
13246,29,5,1400.13,loyal_customers
13249,37,6,897.52,loyal_customers
13250,96,2,256.03999999999996,hibernating
13251,38,1,252.68,need_attention
13252,30,2,399.3,potential_loyalists
13253,66,2,1920.7099999999998,need_attention
13254,12,1,51.410000000000004,new_customers
13255,9,2,504.95,potential_loyalists
13257,72,1,149.75,hibernating
13258,15,2,336.59999999999997,potential_loyalists
13259,33,8,1141.0600000000002,loyal_customers
13262,25,2,373.15999999999997,potential_loyalists
13263,29,4,1250.6200000000003,loyal_customers
13264,78,1,722.56,hibernating
13266,49,7,2300.78,loyal_customers
13267,2,18,5236.77,champions
13269,5,14,3545.4700000000003,champions
13270,2,1,590.0,new_customers
13274,45,1,360.8500000000001,need_attention
13275,19,2,241.66,potential_loyalists
13276,33,3,1348.33,potential_loyalists
13277,16,3,264.9,potential_loyalists
13278,35,3,893.1200000000001,potential_loyalists
13280,15,4,1507.7700000000002,champions
13281,75,1,350.85,hibernating
13282,42,1,181.05,need_attention
13283,203,2,279.70000000000005,hibernating
13285,236,2,655.47,hibernating
13286,236,1,734.91,hibernating
13287,239,3,781.59,at_Risk
13288,79,5,927.6099999999999,at_Risk
13289,359,1,307.95000000000005,hibernating
13290,74,1,208.63,hibernating
13291,50,10,2959.73,loyal_customers
13292,51,3,415.56999999999994,about_to_sleep
13293,28,6,1192.94,loyal_customers
13294,282,1,815.79,hibernating
13295,12,3,900.77,potential_loyalists
13296,59,5,705.1099999999999,loyal_customers
13297,21,3,2278.77,potential_loyalists
13299,59,2,1076.1999999999998,need_attention
13300,24,2,913.6200000000001,potential_loyalists
13302,162,1,95.45,hibernating
13303,36,1,61.72,promising
13304,91,3,917.57,at_Risk
13305,8,7,1753.8500000000001,champions
13306,66,1,53.65,need_attention
13307,123,2,258.34,hibernating
13308,232,1,284.86,hibernating
13309,28,1,249.57999999999998,promising
13310,16,2,409.16999999999996,potential_loyalists
13312,87,1,124.75,hibernating
13313,115,7,1890.0,cant_loose
13315,325,1,310.26,hibernating
13316,28,6,7213.840000000001,loyal_customers
13317,21,13,4212.411,loyal_customers
13319,1,34,11236.95,champions
13320,70,2,679.4,need_attention
13324,64,8,3391.5199999999995,loyal_customers
13326,68,1,281.76,need_attention
13327,1,14,6251.71,champions
13329,2,7,4323.97,champions
13330,91,3,1665.25,at_Risk
13331,37,1,262.4,need_attention
13333,47,3,1015.7399999999999,about_to_sleep
13334,172,2,2726.9300000000003,hibernating
13337,182,1,1575.2599999999998,hibernating
13338,177,3,1958.6000000000001,at_Risk
13340,53,5,11364.080000000002,loyal_customers
13346,98,6,299.40000000000003,at_Risk
13357,130,4,3228.4100000000003,at_Risk
13359,39,1,603.75,need_attention
13360,67,4,1553.65,loyal_customers
13361,108,2,1450.5,hibernating
13362,14,3,2303.33,potential_loyalists
13363,45,1,731.3599999999999,need_attention
13367,67,1,510.2,need_attention
13368,50,2,498.1,need_attention
13369,1,1,308.28,new_customers
13370,7,1,754.8700000000001,new_customers
13371,141,2,2297.6600000000003,hibernating
13373,51,3,4274.9400000000005,about_to_sleep
13374,50,2,422.80000000000007,need_attention
13375,80,1,1013.58,hibernating
13377,32,2,1552.8799999999999,potential_loyalists
13380,68,1,62.4,need_attention
13381,15,6,4585.0599999999995,champions
13382,64,4,1164.5900000000001,loyal_customers
13383,179,1,305.28000000000003,hibernating
13384,26,4,2528.8999999999996,loyal_customers
13386,50,2,835.46,need_attention
13387,53,1,189.44,need_attention
13388,239,1,508.55000000000007,hibernating
13392,313,1,91.14,hibernating
13393,219,4,1131.45,at_Risk
13394,15,11,4101.68,champions
13395,36,2,872.51,potential_loyalists
13397,73,5,1647.7399999999998,at_Risk
13398,84,1,213.00000000000003,hibernating
13399,100,3,275.4,at_Risk
13400,218,1,310.83000000000004,hibernating
13402,8,3,913.9000000000001,potential_loyalists
13403,23,2,154.5,potential_loyalists
13405,117,3,641.36,at_Risk
13406,63,2,568.9200000000001,need_attention
13407,214,3,2244.7,at_Risk
13408,7,46,23616.422,champions
13410,29,4,1198.9,loyal_customers
13412,256,1,487.34999999999997,hibernating
13413,275,6,429.44,at_Risk
13414,99,3,1103.6399999999999,at_Risk
13415,108,4,800.6700000000001,at_Risk
13416,372,1,228.3,hibernating
13417,183,4,1028.66,at_Risk
13418,8,15,6106.17,champions
13421,42,6,2252.04,loyal_customers
13423,64,1,217.02999999999997,need_attention
13424,85,1,572.77,hibernating
13425,144,2,1779.42,hibernating
13426,18,12,4526.0599999999995,loyal_customers
13427,113,3,423.92999999999995,at_Risk
13428,150,2,281.51000000000005,hibernating
13431,42,6,2047.14,loyal_customers
13432,207,2,439.09999999999997,hibernating
13433,137,4,658.3199999999999,at_Risk
13434,21,3,1132.6200000000001,potential_loyalists
13435,12,2,665.3400000000001,potential_loyalists
13438,183,1,46.5,hibernating
13439,24,2,702.8999999999999,potential_loyalists
13440,59,7,1295.2500000000002,loyal_customers
13441,67,1,424.26,need_attention
13442,303,3,419.87000000000006,at_Risk
13443,84,6,1280.16,at_Risk
13444,10,2,631.6800000000001,potential_loyalists
13445,262,1,241.89999999999998,hibernating
13446,66,11,3881.89,loyal_customers
13448,9,9,5701.5,champions
13450,10,7,2076.32,champions
